chi,gamma,raw_k,k,empirical_goal_selection_rate,goal_selection_rate
0.0,1.0,-178.74807973224543,-178.74807973224543,0.0,0.0
0.1,1.0,-144.60230713074057,-144.60230713074057,0.0,0.0
0.2,1.0,-113.75002052345391,-113.75002052345391,0.0,0.0
0.3,1.0,-84.98914093355643,-84.98914093355643,0.0,0.0
0.4,1.0,-57.78543411767481,-57.78543411767481,0.0,0.0
0.5,1.0,-31.84342838471116,-31.84342838471116,0.0,0.0
0.6,1.0,-6.982245605019017,-6.982245605019017,0.0,0.0
0.7,1.0,16.91333330284644,16.91333330284644,0.0,0.0
0.8,1.0,39.9151670941597,39.9151670941597,0.0,0.0
0.9,1.0,62.062042124661446,62.062042124661446,0.0,0.0
1.0,1.0,83.36289463226208,83.36289463226208,0.0,0.0
0.0,1.1,-152.66422516013276,-152.66422516013276,0.0,0.0
0.1,1.1,-118.5184525586279,-118.5184525586279,0.0,0.0
0.2,1.1,-87.66616595134124,-87.66616595134124,0.0,0.0
0.3,1.1,-58.90528636144376,-58.90528636144376,0.0,0.0
0.4,1.1,-31.70157954556214,-31.70157954556214,0.0,0.0
0.5,1.1,-5.759573812598489,-5.759573812598489,0.0,0.0
0.6,1.1,19.101608967093654,19.101608967093654,0.0,0.0
0.7,1.1,42.99718787495911,42.99718787495911,0.0,0.0
0.8,1.1,65.99902166627237,65.99902166627237,0.0,0.0
0.9,1.1,88.14589669677409,88.14589669677409,0.0,0.0
1.0,1.1,109.4467492043747,109.4467492043747,0.0,0.0
0.0,1.2,-125.06810733575091,-125.06810733575091,0.0,0.0
0.1,1.2,-90.92233473424605,-90.92233473424605,0.0,0.0
0.2,1.2,-60.07004812695939,-60.07004812695939,0.0,0.0
0.3,1.2,-31.309168537061908,-31.309168537061908,0.0,0.0
0.4,1.2,-4.105461721180291,-4.105461721180291,0.0,0.0
0.5,1.2,21.83654401178336,21.83654401178336,0.0,0.0
0.6,1.2,46.6977267914755,46.6977267914755,0.0,0.0
0.7,1.2,70.59330569934096,70.59330569934096,0.0,0.0
0.8,1.2,93.59513949065422,93.59513949065422,0.0,0.0
0.9,1.2,115.74201452115594,115.74201452115594,0.0,0.0
1.0,1.2,137.04286702875658,137.04286702875658,0.0,0.0
0.0,1.3,-95.46500553848043,-95.46500553848043,0.0,0.0
0.1,1.3,-61.31923293697557,-61.31923293697557,0.0,0.0
0.2,1.3,-30.46694632968891,-30.46694632968891,0.0,0.0
0.3,1.3,-1.7060667397914244,-1.7060667397914244,0.0,0.0
0.4,1.3,25.497640076090192,25.497640076090192,0.0,0.0
0.5,1.3,51.43964580905384,51.43964580905384,0.0,0.0
0.6,1.3,76.30082858874599,76.30082858874599,0.0,0.0
0.7,1.3,100.19640749661144,100.19640749661144,0.0,0.0
0.8,1.3,123.1982412879247,123.1982412879247,0.0,0.0
0.9,1.3,145.34511631842642,145.34511631842642,0.0,0.0
1.0,1.3,166.6459688260271,166.6459688260271,0.0,0.0
0.0,1.4,-62.757885535218236,-62.757885535218236,0.0,0.0
0.1,1.4,-28.612112933713377,-28.612112933713377,0.0,0.0
0.2,1.4,2.240173673573281,2.240173673573281,0.0,0.0
0.3,1.4,31.001053263470766,31.001053263470766,0.0,0.0
0.4,1.4,58.20476007935238,58.20476007935238,0.0,0.0
0.5,1.4,84.14676581231603,84.14676581231603,0.0,0.0
0.6,1.4,109.00794859200818,109.00794859200818,0.0,0.0
0.7,1.4,132.90352749987363,132.90352749987363,0.0,0.0
0.8,1.4,155.9053612911869,155.9053612911869,0.0,0.0
0.9,1.4,178.05223632168858,178.05223632168858,0.0,0.0
1.0,1.4,199.35308882928925,199.35308882928925,0.0,0.0
0.0,1.5,-21.94175669875412,-21.94175669875412,0.0,0.0
0.1,1.5,12.20401590275074,12.20401590275074,0.0,0.0
0.2,1.5,43.0563025100374,43.0563025100374,0.0,0.0
0.3,1.5,71.81718209993491,71.81718209993491,0.0,0.0
0.4,1.5,99.02088891581653,99.02088891581653,0.0,0.0
0.5,1.5,124.96289464878018,124.96289464878018,0.0,0.0
0.6,1.5,149.82407742847232,149.82407742847232,0.0,0.0
0.7,1.5,173.7196563363378,173.7196563363378,0.0,0.0
0.8,1.5,196.72149012765104,196.72149012765104,0.0,0.0
0.9,1.5,218.86836515815273,218.86836515815273,0.0,0.0
1.0,1.5,240.1692176657534,240.1692176657534,0.0,0.0
0.0,1.6,0.0,0.0,0.0,0.0
0.1,1.6,0.0,0.0,0.0,0.0
0.2,1.6,0.0,0.0,0.0,0.0
0.3,1.6,0.0,0.0,0.0,0.0
0.4,1.6,0.0,0.0,0.0,0.0
0.5,1.6,0.0,0.0,0.0,0.0
0.6,1.6,0.0,0.0,0.0,0.0
0.7,1.6,0.0,0.0,0.0,0.0
0.8,1.6,0.0,0.0,0.0,0.0
0.9,1.6,0.0,0.0,0.0,0.0
1.0,1.6,0.0,0.0,0.0,0.0
0.0,1.7,0.0,0.0,0.0,0.0
0.1,1.7,0.0,0.0,0.0,0.0
0.2,1.7,0.0,0.0,0.0,0.0
0.3,1.7,0.0,0.0,0.0,0.0
0.4,1.7,0.0,0.0,0.0,0.0
0.5,1.7,0.0,0.0,0.0,0.0
0.6,1.7,0.0,0.0,0.0,0.0
0.7,1.7,0.0,0.0,0.0,0.0
0.8,1.7,0.0,0.0,0.0,0.0
0.9,1.7,0.0,0.0,0.0,0.0
1.0,1.7,0.0,0.0,0.0,0.0
0.0,1.8,0.0,0.0,0.0,0.0
0.1,1.8,0.0,0.0,0.0,0.0
0.2,1.8,0.0,0.0,0.0,0.0
0.3,1.8,0.0,0.0,0.0,0.0
0.4,1.8,0.0,0.0,0.0,0.0
0.5,1.8,0.0,0.0,0.0,0.0
0.6,1.8,0.0,0.0,0.0,0.0
0.7,1.8,0.0,0.0,0.0,0.0
0.8,1.8,0.0,0.0,0.0,0.0
0.9,1.8,0.0,0.0,0.0,0.0
1.0,1.8,0.0,0.0,0.0,0.0
0.0,1.9,0.0,0.0,0.0,0.0
0.1,1.9,0.0,0.0,0.0,0.0
0.2,1.9,0.0,0.0,0.0,0.0
0.3,1.9,0.0,0.0,0.0,0.0
0.4,1.9,0.0,0.0,0.0,0.0
0.5,1.9,0.0,0.0,0.0,0.0
0.6,1.9,0.0,0.0,0.0,0.0
0.7,1.9,0.0,0.0,0.0,0.0
0.8,1.9,0.0,0.0,0.0,0.0
0.9,1.9,0.0,0.0,0.0,0.0
1.0,1.9,0.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0
0.1,2.0,0.0,0.0,0.0,0.0
0.2,2.0,0.0,0.0,0.0,0.0
0.3,2.0,0.0,0.0,0.0,0.0
0.4,2.0,0.0,0.0,0.0,0.0
0.5,2.0,0.0,0.0,0.0,0.0
0.6,2.0,0.0,0.0,0.0,0.0
0.7,2.0,0.0,0.0,0.0,0.0
0.8,2.0,0.0,0.0,0.0,0.0
0.9,2.0,0.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0
