chi,gamma,raw_k,k,empirical_goal_selection_rate,goal_selection_rate
0.0,1.0,-160.27015211874303,-160.27015211874303,0.0,0.0
0.1,1.0,-132.02956497608477,-132.02956497608477,0.0,0.0
0.2,1.0,-101.06223810337757,-101.06223810337757,0.0,0.0
0.3,1.0,-73.31257776428745,-73.31257776428745,0.0,0.0
0.4,1.0,-47.46499492681305,-47.46499492681305,0.0,0.0
0.5,1.0,-23.027062423953865,-23.027062423953865,0.0,0.0
0.6,1.0,0.26029934321674375,0.26029934321674375,0.0,0.0
0.7,1.0,22.54998489758907,22.54998489758907,0.0,0.0
0.8,1.0,43.933941533570106,43.933941533570106,0.0,0.0
0.9,1.0,64.46193697782311,64.46193697782311,0.0,0.0
1.0,1.0,84.14802797875419,84.14802797875419,0.0,0.0
0.0,1.1,-129.93129702589712,-129.93129702589712,0.0,0.0
0.1,1.1,-101.69070988323887,-101.69070988323887,0.0,0.0
0.2,1.1,-70.72338301053165,-70.72338301053165,0.0,0.0
0.3,1.1,-42.97372267144154,-42.97372267144154,0.0,0.0
0.4,1.1,-17.126139833967137,-17.126139833967137,0.0,0.0
0.5,1.1,7.311792668892046,7.311792668892046,0.0,0.0
0.6,1.1,30.599154436062655,30.599154436062655,0.0,0.0
0.7,1.1,52.88883999043498,52.88883999043498,0.0,0.0
0.8,1.1,74.27279662641601,74.27279662641601,0.0,0.0
0.9,1.1,94.80079207066902,94.80079207066902,0.0,0.0
1.0,1.1,114.48688307160008,114.48688307160008,0.0,0.0
0.0,1.2,-96.45686196419511,-96.45686196419511,0.0,0.0
0.1,1.2,-68.21627482153687,-68.21627482153687,0.0,0.0
0.2,1.2,-37.24894794882965,-37.24894794882965,0.0,0.0
0.3,1.2,-9.49928760973954,-9.49928760973954,0.0,0.0
0.4,1.2,16.34829522773486,16.34829522773486,0.0,0.0
0.5,1.2,40.78622773059404,40.78622773059404,0.0,0.0
0.6,1.2,64.07358949776464,64.07358949776464,0.0,0.0
0.7,1.2,86.36327505213698,86.36327505213698,0.0,0.0
0.8,1.2,107.747231688118,107.747231688118,0.0,0.0
0.9,1.2,128.27522713237101,128.27522713237101,0.0,0.0
1.0,1.2,147.9613181333021,147.9613181333021,0.025,0.025
0.0,1.3,-47.73250276924021,-47.73250276924021,0.0,0.0
0.1,1.3,-30.659616468487783,-30.659616468487783,0.0,0.0
0.2,1.3,-15.233473164844455,-15.233473164844455,0.0,0.0
0.3,1.3,-0.8530333698957122,-0.8530333698957122,0.0,0.0
0.4,1.3,12.748820038045096,12.748820038045096,0.0,0.0
0.5,1.3,25.71982290452692,25.71982290452692,0.0,0.0
0.6,1.3,38.15041429437299,38.15041429437299,0.025,0.025
0.7,1.3,50.09820374830572,50.09820374830572,0.025,0.025
0.8,1.3,61.59912064396235,61.59912064396235,0.025,0.025
0.9,1.3,72.67255815921321,72.67255815921321,0.025,0.025
1.0,1.3,83.32298441301354,83.32298441301354,0.05,0.05
0.0,1.4,-31.378942767609118,-31.378942767609118,0.025,0.025
0.1,1.4,-14.306056466856688,-14.306056466856688,0.025,0.025
0.2,1.4,1.1200868367866406,1.1200868367866406,0.025,0.025
0.3,1.4,15.500526631735383,15.500526631735383,0.025,0.025
0.4,1.4,29.10238003967619,29.10238003967619,0.05,0.05
0.5,1.4,42.07338290615802,42.07338290615802,0.05,0.05
0.6,1.4,54.50397429600409,54.50397429600409,0.05,0.05
0.7,1.4,66.45176374993682,66.45176374993682,0.05,0.05
0.8,1.4,77.95268064559345,77.95268064559345,0.05,0.05
0.9,1.4,89.02611816084429,89.02611816084429,0.05,0.05
1.0,1.4,99.67654441464462,99.67654441464462,0.05,0.05
0.0,1.5,-10.97087834937706,-10.97087834937706,0.05,0.05
0.1,1.5,6.10200795137537,6.10200795137537,0.05,0.05
0.2,1.5,21.5281512550187,21.5281512550187,0.05,0.05
0.3,1.5,35.908591049967455,35.908591049967455,0.05,0.05
0.4,1.5,49.510444457908264,49.510444457908264,0.05,0.05
0.5,1.5,62.48144732439009,62.48144732439009,0.05,0.05
0.6,1.5,74.91203871423616,74.91203871423616,0.05,0.05
0.7,1.5,86.8598281681689,86.8598281681689,0.05,0.05
0.8,1.5,98.36074506382552,98.36074506382552,0.05,0.05
0.9,1.5,109.43418257907636,109.43418257907636,0.05,0.05
1.0,1.5,120.0846088328767,120.0846088328767,0.05,0.05
0.0,1.6,0.0,0.0,0.0,0.0
0.1,1.6,0.0,0.0,0.0,0.0
0.2,1.6,0.0,0.0,0.0,0.0
0.3,1.6,0.0,0.0,0.0,0.0
0.4,1.6,0.0,0.0,0.0,0.0
0.5,1.6,0.0,0.0,0.0,0.0
0.6,1.6,0.0,0.0,0.0,0.0
0.7,1.6,0.0,0.0,0.0,0.0
0.8,1.6,0.0,0.0,0.0,0.0
0.9,1.6,0.0,0.0,0.0,0.0
1.0,1.6,0.0,0.0,0.0,0.0
0.0,1.7,0.0,0.0,0.0,0.0
0.1,1.7,0.0,0.0,0.0,0.0
0.2,1.7,0.0,0.0,0.0,0.0
0.3,1.7,0.0,0.0,0.0,0.0
0.4,1.7,0.0,0.0,0.0,0.0
0.5,1.7,0.0,0.0,0.0,0.0
0.6,1.7,0.0,0.0,0.0,0.0
0.7,1.7,0.0,0.0,0.0,0.0
0.8,1.7,0.0,0.0,0.0,0.0
0.9,1.7,0.0,0.0,0.0,0.0
1.0,1.7,0.0,0.0,0.0,0.0
0.0,1.8,0.0,0.0,0.0,0.0
0.1,1.8,0.0,0.0,0.0,0.0
0.2,1.8,0.0,0.0,0.0,0.0
0.3,1.8,0.0,0.0,0.0,0.0
0.4,1.8,0.0,0.0,0.0,0.0
0.5,1.8,0.0,0.0,0.0,0.0
0.6,1.8,0.0,0.0,0.0,0.0
0.7,1.8,0.0,0.0,0.0,0.0
0.8,1.8,0.0,0.0,0.0,0.0
0.9,1.8,0.0,0.0,0.0,0.0
1.0,1.8,0.0,0.0,0.0,0.0
0.0,1.9,0.0,0.0,0.0,0.0
0.1,1.9,0.0,0.0,0.0,0.0
0.2,1.9,0.0,0.0,0.0,0.0
0.3,1.9,0.0,0.0,0.0,0.0
0.4,1.9,0.0,0.0,0.0,0.0
0.5,1.9,0.0,0.0,0.0,0.0
0.6,1.9,0.0,0.0,0.0,0.0
0.7,1.9,0.0,0.0,0.0,0.0
0.8,1.9,0.0,0.0,0.0,0.0
0.9,1.9,0.0,0.0,0.0,0.0
1.0,1.9,0.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0,0.0,0.0
0.1,2.0,0.0,0.0,0.0,0.0
0.2,2.0,0.0,0.0,0.0,0.0
0.3,2.0,0.0,0.0,0.0,0.0
