preference_mean,node_count,goal_participants,total_participants,goal_choice_threshold
0.0,10,0.0,10.0,0.4679427476343757
0.0,20,0.0,20.0,0.4679427476343757
0.1,10,2.5,8.0,0.2735934730528798
0.1,20,5.5,16.0,0.2735934730528798
0.2,10,2.0,9.0,0.37258254752854025
0.2,20,4.0,18.5,0.37258254752854025
0.3,10,3.0,10.0,0.42895828152945825
0.3,20,5.5,19.0,0.42895828152945825
0.4,10,1.5,10.0,0.4355241479143324
0.4,20,3.0,20.0,0.4355241479143324
0.5,10,4.0,9.5,0.40782963447685366
0.5,20,9.0,19.0,0.40782963447685366
0.6,10,5.5,9.5,0.4367207402854656
0.6,20,11.5,19.5,0.4367207402854656
0.7,10,5.5,10.0,0.5327279755478724
0.7,20,11.5,20.0,0.5327279755478724
0.8,10,9.5,10.0,0.31840946496556954
0.8,20,18.0,20.0,0.31840946496556954
0.9,10,7.5,10.0,0.377845817247712
0.9,20,16.0,20.0,0.377845817247712
1.0,10,10.0,10.0,0.316084677032889
1.0,20,20.0,20.0,0.316084677032889
