task_id,workload,local_fraction,offload_fraction,crr_profit,utility,local_cost,total_payment,total_crp_cost,social_welfare,converged,iterations,max_price_change,active_price_setting_count,active_price_taking_count,unilateral_deviation_passed
task_1,0.881799,0.259143,0.740857,5.877816,6.290928,0.078326,0.334786,0.273336,5.939266,True,1,0.001793,4,6,False
task_2,0.939846,0.320619,0.679381,1.247572,1.703322,0.136202,0.319548,0.259315,1.307805,True,1,0.001682,4,6,False
task_3,0.141009,0.0,1.0,0.806225,0.821991,0.0,0.015765,0.013132,0.808858,True,1,9e-05,4,6,True
task_4,0.132662,0.288339,0.711661,0.092888,0.102071,0.002195,0.006988,0.005699,0.094177,True,1,3.7e-05,4,6,True
task_5,0.484559,0.247924,0.752076,1.972427,2.098242,0.021648,0.104167,0.085107,1.991487,True,1,0.000559,4,6,True
task_6,0.147879,0.0,1.0,1.103816,1.12129,0.0,0.017474,0.014658,1.106632,True,1,0.000102,4,6,True
task_7,0.677837,0.201503,0.798497,5.204916,5.462744,0.027984,0.229844,0.18789,5.24687,True,1,0.001235,4,6,True
task_8,0.740027,0.271352,0.728648,2.941516,3.229937,0.060485,0.227936,0.185552,2.983899,True,1,0.00121,4,6,True
task_9,0.846765,0.230649,0.769351,6.021777,6.411817,0.057216,0.332824,0.271369,6.083232,True,1,0.001776,4,6,False
task_10,0.55639,0.241717,0.758283,3.154175,3.321033,0.027131,0.139727,0.114468,3.179434,True,1,0.000755,4,6,True
