task_id,workload,crp_id,node_id,crp_type,fraction,price,payment,cost,crp_profit
task_1,0.881799,crp_1,node_1,price_taking,0.031577,0.486015,0.013533,0.006766,0.006766
task_1,0.881799,crp_2,node_2,price_setting,0.166387,3.530719,0.076005,0.068494,0.007511
task_1,0.881799,crp_3,node_3,price_setting,0.155999,3.64619,0.068995,0.061928,0.007067
task_1,0.881799,crp_4,node_4,price_taking,0.025703,0.494503,0.011208,0.005604,0.005604
task_1,0.881799,crp_5,node_5,price_taking,0.023425,0.480721,0.00993,0.004965,0.004965
task_1,0.881799,crp_6,node_6,price_taking,0.022935,0.500084,0.010114,0.005057,0.005057
task_1,0.881799,crp_7,node_7,price_taking,0.020839,0.481101,0.00884,0.00442,0.00442
task_1,0.881799,crp_8,node_8,price_setting,0.141738,4.23677,0.066183,0.058224,0.007959
task_1,0.881799,crp_9,node_9,price_taking,0.019482,0.49977,0.008586,0.004293,0.004293
task_1,0.881799,crp_10,node_10,price_setting,0.132773,4.478749,0.061392,0.053584,0.007809
task_2,0.939846,crp_1,node_1,price_taking,0.030153,0.494654,0.014018,0.007009,0.007009
task_2,0.939846,crp_2,node_2,price_setting,0.151211,3.530608,0.071307,0.064262,0.007044
task_2,0.939846,crp_3,node_3,price_setting,0.145354,3.646169,0.068046,0.061077,0.006969
task_2,0.939846,crp_4,node_4,price_taking,0.024215,0.496541,0.0113,0.00565,0.00565
task_2,0.939846,crp_5,node_5,price_taking,0.022561,0.493476,0.010464,0.005232,0.005232
task_2,0.939846,crp_6,node_6,price_taking,0.021419,0.497782,0.010021,0.00501,0.00501
task_2,0.939846,crp_7,node_7,price_taking,0.020058,0.493561,0.009304,0.004652,0.004652
task_2,0.939846,crp_8,node_8,price_setting,0.126661,4.236656,0.060038,0.052819,0.007218
task_2,0.939846,crp_9,node_9,price_taking,0.018204,0.497712,0.008515,0.004258,0.004258
task_2,0.939846,crp_10,node_10,price_setting,0.119544,4.478665,0.056535,0.049345,0.00719
task_3,0.141009,crp_1,node_1,price_taking,0.036413,0.089623,0.00046,0.00023,0.00023
task_3,0.141009,crp_2,node_2,price_setting,0.231729,3.529016,0.003768,0.003397,0.000371
task_3,0.141009,crp_3,node_3,price_setting,0.19867,3.644694,0.00286,0.002568,0.000292
task_3,0.141009,crp_4,node_4,price_taking,0.031344,0.096432,0.000426,0.000213,0.000213
task_3,0.141009,crp_5,node_5,price_taking,0.026016,0.085377,0.000313,0.000157,0.000157
