task_index,DIM,PRM,TRAIM,TOCA,PC-SPE
1,1151.5529862534604,614.9194731337993,,,0.3347860836887151
2,784.375217303251,277.12005664757794,,33.0,0.3195484963097696
3,0.0,0.0,,4.0,0.015765421179365864
4,,,,,0.006987912452048558
5,152.68982603745349,0.0,168.88196335463817,16.0,0.10416732693662314
6,0.0,0.0,142.90012283854,5.0,0.017474413505956302
7,796.0713249316532,284.3337257137505,,22.0,0.2298444088489841
8,491.6517829231193,0.0,,20.0,0.227935885581765
9,1090.493426507225,558.1361777008035,539.3833057980024,36.0,0.33282406761480615
10,584.4025426882065,87.48902119861293,,18.0,0.13972700692639478
