round_index,task_id,arrival_time,deadline,candidate_count,decision,selected_bs,selected_time_slots,net_utility,rejection_reason
0,task_1,0,5,0,REJECTED,,,0.0,no_feasible_scheme
1,task_2,2,7,2,ACCEPTED,bs_6,2;3;4,1573.47133,
2,task_3,3,8,1,ACCEPTED,bs_5,3,221.896046,
3,task_4,5,10,0,REJECTED,,,0.0,no_feasible_scheme
4,task_5,6,11,1,ACCEPTED,bs_2,6;7,737.872211,
5,task_6,8,13,1,ACCEPTED,bs_7,8,227.4486,
6,task_7,9,14,1,ACCEPTED,bs_3,9;10,1187.528141,
7,task_8,11,16,2,ACCEPTED,bs_9,11;12,1325.259553,
8,task_9,12,17,1,ACCEPTED,bs_3,12;13;14,1590.354371,
9,task_10,14,19,1,ACCEPTED,bs_3,15;16,760.512385,
