task_id,arrival_time,deadline,task_class,bid,accepted,selected_bs,selected_time_slots,payment,operational_cost,dynamic_price,smd_utility,social_welfare_contribution,cpu_demand,subchannel_demand,candidate_count,rejection_reason
task_1,0,5,A,1333.596292,False,,,0.0,0.0,0.0,0.0,0.0,5,3,0,no_feasible_scheme
task_2,2,7,C,1606.47133,True,bs_6,2;3;4,33.0,16.5,16.5,1573.47133,1589.97133,5,1,2,
task_3,3,8,C,225.896046,True,bs_5,3,4.0,2.0,2.0,221.896046,223.896046,1,2,1,
task_4,5,10,B,185.10745,False,,,0.0,0.0,0.0,0.0,0.0,1,1,0,no_feasible_scheme
task_5,6,11,B,753.872211,True,bs_2,6;7,16.0,8.0,8.0,737.872211,745.872211,3,2,1,
task_6,8,13,C,232.4486,True,bs_7,8,5.0,2.5,2.5,227.4486,229.9486,1,3,1,
task_7,9,14,A,1209.528141,True,bs_3,9;10,22.0,11.0,11.0,1187.528141,1198.528141,4,3,1,
task_8,11,16,C,1345.259553,True,bs_9,11;12,20.0,10.0,10.0,1325.259553,1335.259553,4,2,2,
task_9,12,17,A,1626.354371,True,bs_3,12;13;14,36.0,18.0,18.0,1590.354371,1608.354371,5,2,1,
task_10,14,19,A,778.512385,True,bs_3,15;16,18.0,9.0,9.0,760.512385,769.512385,3,3,1,
