repeat_index,metric,common_task_count,DIM_mean,PRM_mean,PRM_over_DIM
0,winning_bid,29,484.0775478184356,550.7722523468698,1.1377769013022878
0,transaction_price,29,546.2366099226956,566.1611654136467,1.0364760529210424
1,winning_bid,33,605.3752060494337,410.777139539774,0.6785496588478234
1,transaction_price,33,671.0704966987657,437.0726297411698,0.6513065794000562
2,winning_bid,31,422.27572744167264,359.34559078761754,0.8509738245309224
2,transaction_price,31,424.37574058645225,382.2570148736593,0.9007513349971693
3,winning_bid,33,532.8850091716308,295.1579537462783,0.5538867648108566
3,transaction_price,33,594.059689279909,313.61813599691527,0.5279236104659253
4,winning_bid,30,328.6515996599212,446.00126698880746,1.357064038179994
4,transaction_price,30,423.59779444860067,478.9832013166888,1.1307499887722117
5,winning_bid,28,346.4861525389766,391.4522520754942,1.1297774794375348
5,transaction_price,28,390.20617775844914,411.3883319830872,1.0542845178575069
6,winning_bid,15,499.62567404150485,397.5382430245706,0.7956721675426678
6,transaction_price,15,507.1595920726241,398.8853814934342,0.786508601490307
7,winning_bid,19,375.116253906397,134.58644602545812,0.35878596201550245
7,transaction_price,19,432.9943242825052,144.33072612094955,0.33333168133349855
8,winning_bid,37,432.0095652497907,389.6922313706733,0.9020453775030439
8,transaction_price,37,497.60955952469334,438.0711331030672,0.8803511201061007
9,winning_bid,14,439.40741305958994,250.18864201961756,0.5693773809539449
9,transaction_price,14,505.0571556207984,253.5863355075804,0.5020943326619757
10,winning_bid,21,391.1423319514941,263.9827696255864,0.6749020703244238
10,transaction_price,21,429.11366538569445,296.30707786054415,0.6905095357292304
11,winning_bid,37,313.57871248464255,557.5269853638612,1.7779490863595084
11,transaction_price,37,360.5920744802009,562.8148095419501,1.560807486834691
12,winning_bid,27,407.2641558220853,276.82741555292284,0.679724477579254
12,transaction_price,27,450.65874427126147,285.70582274643454,0.6339737692395954
13,winning_bid,21,448.121533057855,347.3410029444311,0.7751044690360538
13,transaction_price,21,452.07358061517454,352.5707241068316,0.7798967673073463
14,winning_bid,31,411.42324128719616,259.46900175983944,0.6306619940770817
14,transaction_price,31,489.7026447942212,273.4359763317861,0.5583714509989773
15,winning_bid,13,471.4864222915789,165.7615180234401,0.35157219844801607
15,transaction_price,13,522.544621201937,197.2282445312913,0.37743809146410207
16,winning_bid,22,550.1498465926368,319.01918621009776,0.5798768975142845
16,transaction_price,22,602.0377427771738,368.21327986287594,0.6116116211656834
17,winning_bid,14,529.8693748841755,183.71494922895,0.34671743251647325
17,transaction_price,14,604.3525711475326,190.13940396690396,0.3146166874178612
18,winning_bid,21,448.88081933093684,306.4487473750892,0.6826951256947342
18,transaction_price,21,556.4457048966333,324.6811525839377,0.5834911649542722
19,winning_bid,32,370.4348164946106,236.47215430915216,0.6383637384489548
19,transaction_price,32,441.3499803716772,242.26925680942995,0.5489277616040812
