task_id,converged,iterations,max_price_change,crr_profit,social_welfare,offload_fraction,local_fraction,active_price_setting_count,active_price_taking_count,unilateral_deviation_passed
task_1,True,1,8e-05,-133.481618,-118.595499,0.863009,0.136991,11,0,True
task_2,True,1,0.000211,-357.858291,-317.472148,0.916331,0.083669,11,0,True
task_3,True,1,0.00034,-567.878287,-504.679831,0.861231,0.138769,11,0,True
task_4,True,1,0.000134,-224.507267,-198.988879,0.97366,0.02634,11,0,True
task_5,True,1,0.000171,-287.075268,-254.693239,0.925585,0.074415,11,0,True
task_6,True,1,9.2e-05,-150.230286,-132.894498,1.0,0.0,11,0,True
task_7,True,1,0.000109,-184.368349,-163.5561,0.917673,0.082327,11,0,True
task_8,True,1,0.000331,-560.363964,-497.130842,0.92059,0.07941,11,0,True
task_9,True,1,7.7e-05,-129.760955,-115.073765,0.925392,0.074608,11,0,True
task_10,True,1,0.00022,-370.330283,-328.368256,0.940537,0.059463,11,0,True
task_11,True,1,3.5e-05,-58.754061,-52.10888,0.928192,0.071808,11,0,True
task_12,True,1,4.4e-05,-74.778504,-66.371117,0.89448,0.10552,11,0,True
task_13,True,1,0.000223,-375.582701,-333.533146,0.880477,0.119523,11,0,True
task_14,True,1,0.000196,-330.663363,-293.29792,0.931556,0.068444,11,0,True
task_15,True,1,0.000187,-315.993382,-280.549522,0.887207,0.112793,11,0,True
task_16,True,1,0.000179,-303.154712,-268.917097,0.92229,0.07771,11,0,True
task_17,True,1,0.000215,-364.193238,-323.044486,0.925601,0.074399,11,0,True
task_18,True,1,0.00039,-654.487295,-581.362485,0.874751,0.125249,11,0,True
task_19,True,1,0.000353,-593.246668,-526.322174,0.926903,0.073097,11,0,True
task_20,True,1,0.000287,-483.051749,-428.947806,0.881495,0.118505,11,0,True
task_21,True,1,5.8e-05,-97.761774,-86.741306,0.91956,0.08044,11,0,True
task_22,True,1,0.000378,-640.430638,-568.263105,0.910506,0.089494,11,0,True
task_23,True,1,0.000445,-750.3705,-665.589709,0.935159,0.064841,11,0,True
task_24,True,1,7.5e-05,-126.558823,-112.377416,0.887448,0.112552,11,0,True
task_25,True,1,0.000425,-713.673338,-633.419545,0.909024,0.090976,11,0,True
task_26,True,1,0.00019,-317.629008,-282.203398,0.867966,0.132034,11,0,True
task_27,True,1,0.000229,-386.488063,-343.052637,0.894853,0.105147,11,0,True
task_28,True,1,0.000152,-256.168089,-227.301056,0.910768,0.089232,11,0,True
task_29,True,1,5.6e-05,-95.062958,-84.343721,0.910167,0.089833,11,0,True
task_30,True,1,0.000108,-180.721376,-160.525411,0.870332,0.129668,11,0,True
task_31,True,1,7e-06,-10.373167,-9.077721,1.0,0.0,11,0,True
task_32,True,1,0.000274,-461.590625,-409.205194,0.958003,0.041997,11,0,True
task_33,True,1,0.000191,-320.061606,-283.641824,0.985615,0.014385,11,0,True
task_34,True,1,0.000256,-431.098098,-382.778905,0.883591,0.116409,11,0,True
task_35,True,1,0.000137,-229.350255,-203.825288,0.857821,0.142179,11,0,True
task_36,True,1,2.8e-05,-47.00993,-41.750342,0.881068,0.118932,11,0,True
task_37,True,1,9.6e-05,-161.345646,-143.218213,0.892923,0.107077,11,0,True
task_38,True,1,6.4e-05,-103.512076,-91.557209,1.0,0.0,11,0,True
task_39,True,1,3.9e-05,-64.383166,-56.990253,1.0,0.0,11,0,True
task_40,True,1,0.000294,-495.843735,-440.111296,0.89892,0.10108,11,0,True
task_41,True,1,0.000102,-172.052855,-152.600403,0.928176,0.071824,11,0,True
task_42,True,1,7e-05,-116.491031,-103.510591,0.861826,0.138174,11,0,True
task_43,True,1,0.000162,-274.239599,-243.467443,0.88705,0.11295,11,0,True
task_44,True,1,3.1e-05,-51.527749,-45.616918,1.0,0.0,11,0,True
task_45,True,1,3.2e-05,-54.023361,-47.989902,0.870456,0.129544,11,0,True
task_46,True,1,0.000396,-669.025773,-593.559527,0.919594,0.080406,11,0,True
task_47,True,1,0.00026,-434.537301,-385.959338,0.879956,0.120044,11,0,True
task_48,True,1,0.000127,-214.63559,-190.509363,0.899282,0.100718,11,0,True
task_49,True,1,6.9e-05,-116.358897,-103.16587,0.934018,0.065982,11,0,True
task_50,True,1,0.000403,-676.425855,-600.81555,0.875389,0.124611,11,0,True
