task_id,workload,local_fraction,offload_fraction,crr_profit,utility,local_cost,total_payment,total_crp_cost,social_welfare,converged,iterations,max_price_change,active_price_setting_count,active_price_taking_count,unilateral_deviation_passed
task_1,0.134224,0.0,1.0,0.929281,0.934396,0.0,0.005115,0.00432,0.930076,True,1,1.3e-05,11,19,True
task_2,0.621882,0.117903,0.882097,3.347468,3.438675,0.008064,0.083143,0.067465,3.363146,True,1,0.000178,11,19,True
task_3,0.919618,0.106421,0.893579,7.660268,7.86114,0.014367,0.186505,0.150987,7.695786,True,1,0.000397,11,19,True
task_4,0.268274,0.109122,0.890878,0.732831,0.749903,0.001286,0.015786,0.012826,0.735791,True,1,3.4e-05,11,19,True
task_5,0.468073,0.145516,0.854484,0.401939,0.453046,0.006959,0.044147,0.035482,0.410605,True,1,9.1e-05,11,19,True
task_6,0.370265,0.053401,0.946599,2.85234,2.886978,0.000586,0.034051,0.027925,2.858467,True,1,7.6e-05,11,19,True
task_7,0.823055,0.126443,0.873557,3.708388,3.867342,0.016246,0.142708,0.11515,3.735947,True,1,0.0003,11,19,True
task_8,0.38965,0.051818,0.948182,2.924817,2.963211,0.000612,0.037783,0.030867,2.931732,True,1,8.3e-05,11,19,True
task_9,0.563408,0.118188,0.881812,2.4885,2.563325,0.006651,0.068173,0.05521,2.501464,True,1,0.000145,11,19,True
task_10,0.781949,0.147427,0.852573,1.021183,1.163778,0.019934,0.12266,0.098593,1.045251,True,1,0.000254,11,19,True
task_11,0.276432,0.0,1.0,2.833778,2.855074,0.0,0.021295,0.017641,2.837432,True,1,4.9e-05,11,19,True
task_12,0.122612,0.0,1.0,0.751012,0.755233,0.0,0.004221,0.00353,0.751703,True,1,1e-05,11,19,True
task_13,0.917982,0.151501,0.848499,0.589408,0.785854,0.029013,0.167432,0.134388,0.622452,True,1,0.000345,11,19,True
task_14,0.430713,0.094243,0.905757,2.497527,2.542102,0.002472,0.042103,0.034334,2.505296,True,1,9.2e-05,11,19,True
task_15,0.637404,0.093298,0.906702,4.452924,4.550492,0.005305,0.092264,0.074769,4.470419,True,1,0.000197,11,19,True
task_16,0.696948,0.136485,0.863515,1.876009,1.989557,0.013573,0.099975,0.080568,1.895416,True,1,0.000209,11,19,True
task_17,0.628811,0.105253,0.894747,4.435323,4.529408,0.00657,0.087515,0.071203,4.451635,True,1,0.00019,11,19,True
task_18,0.470557,0.022355,0.977645,5.224894,5.283677,0.000166,0.058617,0.047975,5.235536,True,1,0.00013,11,19,True
task_19,0.419821,0.068377,0.931623,2.714825,2.758349,0.001236,0.042288,0.034398,2.722715,True,1,9.2e-05,11,19,True
task_20,0.339145,0.119289,0.880711,0.920379,0.947478,0.002455,0.024644,0.019972,0.925051,True,1,5.3e-05,11,19,True
task_21,0.792063,0.114328,0.885672,5.880653,6.028947,0.0123,0.135994,0.11043,5.906217,True,1,0.000293,11,19,True
task_22,0.472009,0.110558,0.889442,2.21411,2.266904,0.004085,0.048709,0.039567,2.223252,True,1,0.000105,11,19,True
task_23,0.937158,0.120758,0.879242,7.117831,7.324622,0.019211,0.187579,0.152117,7.153294,True,1,0.000402,11,19,True
task_24,0.701954,0.149118,0.850882,0.532234,0.647119,0.016435,0.098451,0.079048,0.551636,True,1,0.000203,11,19,True
task_25,0.518719,0.109347,0.890653,2.593094,2.656893,0.004826,0.058973,0.047852,2.604215,True,1,0.000127,11,19,True
task_26,0.919789,0.104605,0.895395,8.001609,8.202843,0.013886,0.187349,0.151742,8.037215,True,1,0.000399,11,19,True
task_27,0.356245,0.03777,0.96223,2.989427,3.022296,0.000272,0.032597,0.026782,2.995242,True,1,7.3e-05,11,19,True
task_28,0.183545,0.035995,0.964005,0.886539,0.895313,6.5e-05,0.008709,0.007193,0.888055,True,1,2e-05,11,19,True
