task_count,DIM_raw,DIM_std_error,PRM_raw,PRM_std_error,TRAIM_raw,TRAIM_std_error,TOCA_raw,TOCA_std_error,PC-SPE_raw,PC-SPE_std_error,DIM,PRM,TRAIM,TOCA,PC-SPE
5,3.35,0.29267370011130506,3.85,0.1817314386381005,3.65,0.1817314386381005,3.0,0.2991215208080594,3.3,0.26257830912139835,3.35,3.85,3.65,3.0,3.3
10,7.3,0.5808342457643416,9.2,0.2,7.3,0.3486817278958292,6.25,0.38983802304357934,6.3,0.3845708476238225,7.3,9.2,7.3,6.25,6.3
15,13.15,0.34239865961370697,13.9,0.31539448982270807,10.8,0.3128813462674074,9.55,0.47281352727999165,9.35,0.35,13.15,13.9,10.8,9.55,9.35
20,15.5,0.7626132357679226,19.05,0.31182822531846466,14.7,0.5031479849277368,12.3,0.6411338640088725,12.25,0.3618301433429489,15.5,19.05,14.7,12.3,12.25
25,18.95,1.05997765616967,23.9,0.2982404540317303,17.05,0.6302672783075949,15.55,0.5914967633492441,15.25,0.44054392217850546,18.95,23.9,17.05,15.55,15.25
30,23.55,1.1061431334049618,28.1,0.4346807661043362,21.1,0.5375382483331327,19.2,0.5261578710455237,18.2,0.5505977612893482,23.55,28.1,21.1,19.2,18.2
35,25.2,1.6312733160261488,31.85,0.5632378202014342,23.6,0.769141695247645,22.15,0.5906062897342732,21.05,0.5641714931509838,25.2,31.85,23.6,22.15,21.05
40,30.55,1.3562234717269708,35.85,0.8561695601862248,27.45,0.6862368779303389,25.6,0.7196490372689353,23.8,0.6905375480472861,30.55,35.85,27.45,25.6,23.8
45,33.3,1.57797338380595,40.8,0.8162816851269445,28.85,0.65,29.85,0.7652828854331202,26.6,0.841051972860555,33.3,40.8,28.85,29.85,26.6
50,37.15,1.5699061319575431,44.7,1.008124887835671,34.2,0.8961907691651606,32.45,0.7485951755402284,29.1,0.8363454335443736,37.15,44.7,34.2,32.45,29.1
