task_id,workload,crp_id,node_id,crp_type,fraction,price,payment,cost,crp_profit
task_1,0.446907,crp_3,node_3,price_setting,0.069271,14370.365723,13.77231,12.465158,1.307153
task_1,0.446907,crp_5,node_5,price_setting,0.068308,14712.561834,13.710913,12.373476,1.337438
task_1,0.446907,crp_8,node_8,price_setting,0.065986,15229.124472,13.243899,11.900082,1.343817
task_1,0.446907,crp_11,node_11,price_setting,0.063427,15749.617462,12.654556,11.321341,1.333215
task_1,0.446907,crp_16,node_16,price_setting,0.060227,16625.861768,12.044797,10.69866,1.346136
task_1,0.446907,crp_18,node_18,price_setting,0.059146,16979.420152,11.863169,10.507234,1.355935
task_1,0.446907,crp_19,node_19,price_setting,0.058815,17156.858386,11.853497,10.483693,1.369803
task_1,0.446907,crp_20,node_20,price_setting,0.058299,17334.727825,11.767186,10.392538,1.374649
task_1,0.446907,crp_23,node_23,price_setting,0.056477,17870.96791,11.384946,10.012175,1.372771
task_1,0.446907,crp_25,node_25,price_setting,0.055423,18230.646858,11.184358,9.807959,1.376399
task_1,0.446907,crp_29,node_29,price_setting,0.053148,18955.246005,10.694033,9.32523,1.368803
task_2,0.687094,crp_3,node_3,price_setting,0.073379,14370.91745,36.530758,33.062294,3.468463
task_2,0.687094,crp_5,node_5,price_setting,0.073614,14713.124774,37.641104,33.968085,3.673019
task_2,0.687094,crp_8,node_8,price_setting,0.070909,15229.639628,36.150991,32.481764,3.669226
task_2,0.687094,crp_11,node_11,price_setting,0.067188,15750.067324,33.565576,30.028432,3.537143
task_2,0.687094,crp_16,node_16,price_setting,0.063934,16626.263174,32.084089,28.497657,3.586432
task_2,0.687094,crp_18,node_18,price_setting,0.06311,16979.811027,31.92721,28.277347,3.649862
task_2,0.687094,crp_19,node_19,price_setting,0.063344,17157.255174,32.500698,28.744216,3.756482
task_2,0.687094,crp_20,node_20,price_setting,0.062957,17335.119657,32.437663,28.647631,3.790032
task_2,0.687094,crp_23,node_23,price_setting,0.060786,17871.328032,31.174265,27.41479,3.759475
task_2,0.687094,crp_25,node_25,price_setting,0.059755,18230.993203,30.732207,26.949646,3.782561
task_2,0.687094,crp_29,node_29,price_setting,0.056935,18955.553837,29.008789,25.295343,3.713447
task_3,0.928555,crp_3,node_3,price_setting,0.068928,14371.459487,58.871339,53.279709,5.59163
task_3,0.928555,crp_5,node_5,price_setting,0.067645,14713.604952,58.051281,52.384927,5.666354
task_3,0.928555,crp_8,node_8,price_setting,0.065383,15230.089237,56.136483,50.437295,5.699188
task_3,0.928555,crp_11,node_11,price_setting,0.063078,15750.508136,54.033269,48.337885,5.695384
task_3,0.928555,crp_16,node_16,price_setting,0.05985,16626.649586,51.351049,45.609852,5.741197
task_3,0.928555,crp_18,node_18,price_setting,0.058692,16980.171937,50.432278,44.666,5.766278
task_3,0.928555,crp_19,node_19,price_setting,0.058216,17157.594361,50.13633,44.340618,5.795713
task_3,0.928555,crp_20,node_20,price_setting,0.057662,17335.447071,49.696754,43.889333,5.807421
task_3,0.928555,crp_23,node_23,price_setting,0.055909,17871.637583,48.166474,42.357082,5.809392
task_3,0.928555,crp_25,node_25,price_setting,0.054838,18231.28658,47.271848,41.452899,5.818949
task_3,0.928555,crp_29,node_29,price_setting,0.052681,18955.829077,45.35839,39.551439,5.806951
task_4,0.512069,crp_3,node_3,price_setting,0.077977,14370.587396,22.911977,20.737044,2.174933
task_4,0.512069,crp_5,node_5,price_setting,0.078631,14712.800606,23.852975,21.525876,2.327099
task_4,0.512069,crp_8,node_8,price_setting,0.075689,15229.341258,22.877209,20.555638,2.321571
task_4,0.512069,crp_11,node_11,price_setting,0.071424,15749.798507,21.067781,18.847978,2.219803
task_4,0.512069,crp_16,node_16,price_setting,0.068018,16626.024541,20.169288,17.914976,2.254312
task_4,0.512069,crp_18,node_18,price_setting,0.067246,16979.581311,20.133601,17.832205,2.301397
task_4,0.512069,crp_19,node_19,price_setting,0.067681,17157.026695,20.608096,18.226422,2.381673
task_4,0.512069,crp_20,node_20,price_setting,0.067322,17334.895351,20.600994,18.194199,2.406794
task_4,0.512069,crp_23,node_23,price_setting,0.06494,17871.120392,19.761854,17.378866,2.382988
task_4,0.512069,crp_25,node_25,price_setting,0.063872,18230.794269,19.502333,17.102146,2.400186
task_4,0.512069,crp_29,node_29,price_setting,0.060745,18955.374525,18.340464,15.992833,2.347631
task_5,0.610936,crp_3,node_3,price_setting,0.074202,14370.747826,29.532474,26.728788,2.803686
task_5,0.610936,crp_5,node_5,price_setting,0.073987,14712.946448,30.060473,27.1275,2.932972
task_5,0.610936,crp_8,node_8,price_setting,0.071337,15229.477171,28.927074,25.991333,2.935741
task_5,0.610936,crp_11,node_11,price_setting,0.067936,15749.928908,27.130984,24.272132,2.858852
task_5,0.610936,crp_16,node_16,price_setting,0.064594,16626.139149,25.892452,22.998307,2.894145
task_5,0.610936,crp_18,node_18,price_setting,0.063645,16979.689145,25.671345,22.736806,2.93454
task_5,0.610936,crp_19,node_19,price_setting,0.063671,17157.129478,25.961036,22.960587,3.000449
task_5,0.610936,crp_20,node_20,price_setting,0.063222,17334.994977,25.861573,22.840059,3.021514
task_5,0.610936,crp_23,node_23,price_setting,0.061113,17871.214053,24.912221,21.90806,3.004161
task_5,0.610936,crp_25,node_25,price_setting,0.060039,18230.883258,24.52838,21.509524,3.018856
task_5,0.610936,crp_29,node_29,price_setting,0.057335,18955.457143,23.257485,20.280373,2.977112
task_6,0.405659,crp_3,node_3,price_setting,0.079889,14370.398722,15.092437,13.659958,1.432479
task_6,0.405659,crp_5,node_5,price_setting,0.08237,14712.627037,16.426698,14.824282,1.602416
task_6,0.405659,crp_8,node_8,price_setting,0.079026,15229.179775,15.650822,14.062731,1.588091
task_6,0.405659,crp_11,node_11,price_setting,0.073228,15749.645049,13.89782,12.433599,1.46422
task_6,0.405659,crp_16,node_16,price_setting,0.069951,16625.889443,13.387192,11.891009,1.496183
task_6,0.405659,crp_18,node_18,price_setting,0.069626,16979.453748,13.545399,11.997166,1.548234
task_6,0.405659,crp_19,node_19,price_setting,0.070913,17156.904368,14.197397,12.556696,1.640701
task_6,0.405659,crp_20,node_20,price_setting,0.070775,17334.776584,14.289002,12.619719,1.669284
task_6,0.405659,crp_23,node_23,price_setting,0.067992,17871.008976,13.595263,11.955949,1.639314
task_6,0.405659,crp_25,node_25,price_setting,0.067024,18230.688302,13.476927,11.818367,1.65856
task_6,0.405659,crp_29,node_29,price_setting,0.063231,18955.276557,12.471306,10.875,1.596306
task_7,0.492035,crp_3,node_3,price_setting,0.073529,14370.487866,18.809467,17.024085,1.785382
task_7,0.492035,crp_5,node_5,price_setting,0.073786,14712.695587,19.392666,17.500841,1.891826
task_7,0.492035,crp_8,node_8,price_setting,0.07108,15229.245623,18.627952,16.737699,1.890253
task_7,0.492035,crp_11,node_11,price_setting,0.067344,15749.717253,17.292766,15.470797,1.821969
task_7,0.492035,crp_16,node_16,price_setting,0.064092,16625.951701,16.534291,14.686326,1.847965
task_7,0.492035,crp_18,node_18,price_setting,0.063272,16979.509656,16.456836,14.575778,1.881058
task_7,0.492035,crp_19,node_19,price_setting,0.063516,17156.952655,16.757067,14.82052,1.936547
task_7,0.492035,crp_20,node_20,price_setting,0.063131,17334.821868,16.726242,14.772194,1.954048
task_7,0.492035,crp_23,node_23,price_setting,0.060953,17871.053271,16.074524,14.136227,1.938297
task_7,0.492035,crp_25,node_25,price_setting,0.059922,18230.729505,15.847892,13.897514,1.950379
task_7,0.492035,crp_29,node_29,price_setting,0.05709,18955.317657,14.957193,13.042669,1.914524
task_8,0.857817,crp_3,node_3,price_setting,0.073648,14371.422574,57.359829,51.911896,5.447933
task_8,0.857817,crp_5,node_5,price_setting,0.073723,14713.623662,58.845628,53.101671,5.743957
task_8,0.857817,crp_8,node_8,price_setting,0.071036,15230.098511,56.551451,50.810103,5.741348
task_8,0.857817,crp_11,node_11,price_setting,0.067427,15750.478993,52.692635,47.138648,5.553987
task_8,0.857817,crp_16,node_16,price_setting,0.064143,16626.628978,50.33673,44.708993,5.627737
task_8,0.857817,crp_18,node_18,price_setting,0.063274,16980.163768,50.025121,44.305417,5.719704
task_8,0.857817,crp_19,node_19,price_setting,0.063435,17157.607074,50.80505,44.932001,5.873049
task_8,0.857817,crp_20,node_20,price_setting,0.063027,17335.465449,50.672491,44.751001,5.92149
task_8,0.857817,crp_23,node_23,price_setting,0.060878,17871.647833,48.739443,42.860921,5.878523
task_8,0.857817,crp_25,node_25,price_setting,0.059833,18231.299795,48.027652,42.115637,5.912015
task_8,0.857817,crp_29,node_29,price_setting,0.057056,18955.829665,45.408582,39.595204,5.813378
task_9,0.40821,crp_3,node_3,price_setting,0.07407,14370.350413,13.137808,11.89089,1.246918
task_9,0.40821,crp_5,node_5,price_setting,0.074857,14712.562667,13.737999,12.397919,1.34008
task_9,0.40821,crp_8,node_8,price_setting,0.072043,15229.122991,13.171171,11.834735,1.336436
task_9,0.40821,crp_11,node_11,price_setting,0.067873,15749.605366,12.090219,10.816468,1.273751
task_9,0.40821,crp_16,node_16,price_setting,0.064665,16625.852595,11.584823,10.290099,1.294724
task_9,0.40821,crp_18,node_18,price_setting,0.063976,16979.414703,11.580377,10.256768,1.323609
task_9,0.40821,crp_19,node_19,price_setting,0.064465,17156.859014,11.880921,10.507948,1.372973
task_9,0.40821,crp_20,node_20,price_setting,0.064145,17334.73017,11.885147,10.496717,1.38843
task_9,0.40821,crp_23,node_23,price_setting,0.061854,17870.968139,11.393279,10.019503,1.373776
task_9,0.40821,crp_25,node_25,price_setting,0.060852,18230.648084,11.249256,9.864869,1.384387
task_9,0.40821,crp_29,node_29,price_setting,0.057831,18955.24385,10.563591,9.211485,1.352106
task_10,0.680172,crp_3,node_3,price_setting,0.075289,14370.945468,37.686195,34.10796,3.578234
task_10,0.680172,crp_5,node_5,price_setting,0.075927,14713.162457,39.24058,35.411393,3.829187
task_10,0.680172,crp_8,node_8,price_setting,0.073077,15229.672845,37.626315,33.807274,3.819041
task_10,0.680172,crp_11,node_11,price_setting,0.068945,15750.090353,34.63634,30.986314,3.650026
