task_id,converged,iterations,max_price_change,crr_profit,social_welfare,offload_fraction,local_fraction,active_price_setting_count,active_price_taking_count,unilateral_deviation_passed
task_1,True,1,1.3e-05,0.929281,0.930076,1.0,0.0,11,19,True
task_2,True,1,0.000178,3.347468,3.363146,0.882097,0.117903,11,19,True
task_3,True,1,0.000397,7.660268,7.695786,0.893579,0.106421,11,19,True
task_4,True,1,3.4e-05,0.732831,0.735791,0.890878,0.109122,11,19,True
task_5,True,1,9.1e-05,0.401939,0.410605,0.854484,0.145516,11,19,True
task_6,True,1,7.6e-05,2.85234,2.858467,0.946599,0.053401,11,19,True
task_7,True,1,0.0003,3.708388,3.735947,0.873557,0.126443,11,19,True
task_8,True,1,8.3e-05,2.924817,2.931732,0.948182,0.051818,11,19,True
task_9,True,1,0.000145,2.4885,2.501464,0.881812,0.118188,11,19,True
task_10,True,1,0.000254,1.021183,1.045251,0.852573,0.147427,11,19,True
task_11,True,1,4.9e-05,2.833778,2.837432,1.0,0.0,11,19,True
task_12,True,1,1e-05,0.751012,0.751703,1.0,0.0,11,19,True
task_13,True,1,0.000345,0.589408,0.622452,0.848499,0.151501,11,19,True
task_14,True,1,9.2e-05,2.497527,2.505296,0.905757,0.094243,11,19,True
task_15,True,1,0.000197,4.452924,4.470419,0.906702,0.093298,11,19,True
task_16,True,1,0.000209,1.876009,1.895416,0.863515,0.136485,11,19,True
task_17,True,1,0.00019,4.435323,4.451635,0.894747,0.105253,11,19,True
task_18,True,1,0.00013,5.224894,5.235536,0.977645,0.022355,11,19,True
task_19,True,1,9.2e-05,2.714825,2.722715,0.931623,0.068377,11,19,True
task_20,True,1,5.3e-05,0.920379,0.925051,0.880711,0.119289,11,19,True
task_21,True,1,0.000293,5.880653,5.906217,0.885672,0.114328,11,19,True
task_22,True,1,0.000105,2.21411,2.223252,0.889442,0.110558,11,19,True
task_23,True,1,0.000402,7.117831,7.153294,0.879242,0.120758,11,19,True
task_24,True,1,0.000203,0.532234,0.551636,0.850882,0.149118,11,19,True
task_25,True,1,0.000127,2.593094,2.604215,0.890653,0.109347,11,19,True
task_26,True,1,0.000399,8.001609,8.037215,0.895395,0.104605,11,19,True
task_27,True,1,7.3e-05,2.989427,2.995242,0.96223,0.03777,11,19,True
task_28,True,1,2e-05,0.886539,0.888055,0.964005,0.035995,11,19,True
task_29,True,1,4e-05,0.904601,0.908144,0.904332,0.095668,11,19,True
task_30,True,1,1.8e-05,1.685825,1.686967,1.0,0.0,11,19,True
task_31,True,1,2.8e-05,0.68773,0.690058,0.894152,0.105848,11,19,True
task_32,True,1,0.000241,1.69301,1.715598,0.859969,0.140031,11,19,True
task_33,True,1,8.5e-05,2.756566,2.76351,0.918739,0.081261,11,19,True
task_34,True,1,0.000301,1.456587,1.485068,0.85538,0.14462,11,19,True
task_35,True,1,0.000197,2.849744,2.867518,0.874055,0.125945,11,19,True
task_36,True,1,1e-05,0.340001,0.340811,0.930451,0.069549,11,19,True
task_37,True,1,0.000339,6.606558,6.637009,0.896721,0.103279,11,19,True
task_38,True,1,0.000178,5.407507,5.422494,0.92431,0.07569,11,19,True
task_39,True,1,0.000302,0.678281,0.707158,0.850514,0.149486,11,19,True
task_40,True,1,0.000343,6.671487,6.701833,0.888903,0.111097,11,19,True
task_41,True,1,0.000263,2.307311,2.331804,0.864728,0.135272,11,19,True
task_42,True,1,0.000172,5.549026,5.563606,0.9395,0.0605,11,19,True
task_43,True,1,0.000317,6.675128,6.703088,0.894718,0.105282,11,19,True
task_44,True,1,3.8e-05,1.276833,1.279958,0.927844,0.072156,11,19,True
task_45,True,1,0.000192,1.480159,1.49812,0.861357,0.138643,11,19,True
task_46,True,1,9.2e-05,0.93863,0.947134,0.867154,0.132846,11,19,True
task_47,True,1,3.1e-05,1.592351,1.594534,0.991493,0.008507,11,19,True
task_48,True,1,5.1e-05,0.938794,0.943409,0.892737,0.107263,11,19,True
task_49,True,1,6e-06,0.273046,0.273516,0.951425,0.048575,11,19,True
task_50,True,1,0.000247,0.526726,0.550386,0.849569,0.150431,11,19,True
