task_index,DIM,PRM,TRAIM,TOCA,PC-SPE
1,,0.0,,212.25869204572805,0.0043198919631265344
2,436.2257836211655,57.48164157043391,207.84320915508928,877.0284899715743,0.0674646574522389
3,837.735411557622,458.90736171146216,,1636.938561203258,0.1509873654532634
4,0.0,0.0,,397.6684919393714,0.012826017673940392
5,0.0,0.0,,734.9134810335343,0.03548170095098733
6,0.0,0.0,285.3262155194706,605.5908787127686,0.027925163953723027
7,374.879940434698,0.5338766829622728,,1390.0502098602394,0.11514961976098106
8,0.0,0.0,,709.1120077965663,0.030867403667598655
9,0.0,0.0,205.72512554023749,859.5229480973233,0.055210105934743445
10,311.54034878538573,0.0,,1081.5282673036486,0.09859255063010314
11,0.0,0.0,171.1649957747794,,0.017641473964451343
12,,0.0,72.42295510242195,233.73935649265962,0.0035304349509202937
13,521.1520743255246,133.86062400630567,334.65571596832115,1262.948795324269,0.13438846966049844
14,0.0,0.0,209.34329582201437,643.2125609479799,0.03433417553229967
15,457.15749398068755,78.40897760478765,,1222.3736375250573,0.07476914695011529
16,180.56450990678218,0.0,263.49987854096094,1059.217650867772,0.08056831642935895
17,445.5688568201837,66.82276224672262,257.4109293903084,919.1083499805799,0.07120344886303448
18,0.0,0.0,,921.9427568962244,0.04797456815217171
19,0.0,0.0,,812.7325462165277,0.03439816088698349
20,0.0,0.0,,494.6745036495461,0.01997234571194742
21,665.7217285465911,286.9296262541651,326.08710345082363,1129.9519283213153,0.11043022111645512
22,0.0,0.0,191.91350628210344,693.0416043992892,0.039566672643319825
23,861.3886972873197,482.55570435904644,471.685882104007,1303.5248055253946,0.152117185766941
24,188.27714742139165,0.0,,1101.1767254496158,0.07904844304715908
25,0.0,0.0,222.87313304465212,803.0228705217312,0.0478524816731603
26,837.9659965564085,459.13789852241564,570.3068134421312,1625.5370204501214,0.1517424395738398
27,0.0,0.0,209.34329582201437,597.2912613431107,0.026782034740920432
28,0.0,0.0,71.17570050035513,282.09736556893716,0.007192970360371132
29,0.0,0.0,,526.2926032136769,0.015187027214670726
30,,0.0,,309.40775447264826,0.00623550490990692
31,0.0,0.0,158.25009656941347,328.067951685688,0.010285502362856821
32,266.9886608583188,0.0,,1181.543867478708,0.09315920778845066
33,0.0,0.0,,594.0130405993499,0.03139944162860869
34,413.37459702087654,35.62167649447633,,1330.0791507709052,0.11674220093467766
35,129.58117537926069,0.0,,966.7603444747341,0.07520214787286948
36,,,,214.86134837466426,0.0036658700414615632
37,740.6016372501001,361.79388649590885,,1612.391167439382,0.12908321167166287
38,388.4182223297989,9.684071140540254,,984.2471453255398,0.06629782695853138
39,425.8782362127424,47.0187177409,,1443.0016528341785,0.1174521391788912
40,753.2492341430525,374.4388402841911,280.24614003434965,1350.7681612301806,0.12995980494715328
41,309.9992737233456,0.0,375.5109403468821,1295.5837413045092,0.10138172309875568
42,363.83885843843774,0.0,,1067.2238098377115,0.06424208685621907
43,700.883398854329,322.0839484485981,,1336.4756373570908,0.12008108748346427
44,0.0,0.0,175.15383752146852,419.7798220885258,0.014093319529840474
45,140.53296562128025,0.0,,1050.9250728256752,0.07423065141801345
46,0.0,0.0,,732.7747817203355,0.03538712115009042
47,0.0,0.0,,327.1771788818363,0.0108245981935505
48,0.0,0.0,197.90345555820974,621.8019213010522,0.019518521140820064
49,,,,150.7350454571979,0.002244475754423173
50,302.4916097324308,0.0,316.81345155730264,1135.607962571213,0.09630914503568917
