task_index,DIM,PRM,TRAIM,TOCA,PC-SPE
1,,0.0,,5.0,0.005114946236438858
2,454.3701234430653,57.6569004140581,207.84320915508928,16.0,0.08314294230063425
3,871.8454200367771,459.16652835051457,,39.0,0.1865052686076731
4,0.0,0.0,,6.0,0.015786300990276298
5,0.0,0.0,,14.0,0.04414733027154027
6,0.0,0.0,285.3262155194706,7.0,0.03405138865001527
7,548.5066657634287,3.7747352409517134,,20.0,0.14270843572456188
8,0.0,0.0,,6.0,0.03778270181727921
9,110.43242266441575,0.0,205.72512554023749,16.0,0.06817340037991577
10,489.33431687235486,0.0,,18.0,0.1226598062138086
11,0.0,0.0,171.1649957747794,,0.021295373388522606
12,,0.0,72.42295510242195,4.0,0.004221380134012696
13,685.15525338854,137.47526770686545,334.65571596832115,33.0,0.16743248665182234
14,0.0,0.0,209.34329582201437,16.0,0.04210273795545798
15,476.13416440882287,78.58861077358017,,20.0,0.09226351641893904
16,359.59913597748596,0.0,277.9861842209162,20.0,0.0999753101085842
17,464.0847155311887,66.99997361307635,257.4109293903084,22.0,0.0875153236666266
18,12.554297948315138,0.0,,18.0,0.05861726147449031
19,0.0,0.0,,16.0,0.04228823311155625
20,0.0,0.0,,6.0,0.024643584356997886
21,692.9917678783488,287.15284533948363,326.08710345082363,22.0,0.13599354209735273
22,14.954279928316168,0.0,256.7816400315333,16.0,0.04870873095642573
23,896.4392573655898,482.81981408021227,471.685882104007,39.0,0.18757940304490497
24,368.9383439588721,0.0,,18.0,0.098450619817522
25,27.048492910167624,0.0,345.6241468212578,16.0,0.05897299782029016
26,872.0851740403191,459.3971133493011,570.3068134421312,39.0,0.18734865385837457
27,0.0,0.0,209.34329582201437,7.0,0.03259714261062048
28,0.0,0.0,79.6967927760336,4.0,0.008708617443806863
29,0.0,0.0,,6.0,0.018729746356464985
30,,0.0,,5.0,0.007377935669184162
31,0.0,0.0,158.25009656941347,6.0,0.01261382356887563
32,447.71377665317516,0.0,,20.0,0.11574697223360801
33,0.0,0.0,,7.0,0.03834348279622472
34,584.4686792631502,38.96090464835197,,33.0,0.1452231842891932
35,297.8635800363202,0.0,,20.0,0.09297535155069173
36,,,,4.0,0.004476477436378358
37,770.8492086963181,362.0327540429927,,36.0,0.15953453250502903
38,404.66153754411397,9.849339122691504,,18.0,0.08128475653063773
39,596.1496781676832,50.389897808196565,,33.0,0.14632903027801894
40,783.9997258862038,374.68035093594506,280.24614003434965,39.0,0.16030630676396634
41,487.8946323264985,0.0,375.5109403468821,20.0,0.1258749049792931
42,379.1047973897914,0.0,,18.0,0.07882220588701508
43,729.5516103306857,322.3145156472216,,22.0,0.14804044315517123
44,0.0,0.0,175.15383752146852,6.0,0.017218312746390307
45,311.1250676461025,0.0,,20.0,0.09219175159892906
46,0.0,0.0,,14.0,0.04389080781419469
47,0.0,0.0,,7.0,0.01300700620473529
48,0.0,0.0,197.90345555820974,6.0,0.024132628610278442
49,,,,4.0,0.0027141104137506445
50,480.8809130798228,0.0,316.81345155730264,18.0,0.11996919189804306
