task_id,arrival_time,deadline,task_class,bid,accepted,selected_bs,selected_time_slots,payment,operational_cost,dynamic_price,smd_utility,social_welfare_contribution,cpu_demand,subchannel_demand,candidate_count,rejection_reason
task_1,0,5,C,212.258692,True,bs_20,0,5.0,2.5,2.5,207.258692,209.758692,1,3,1,
task_2,0,5,A,877.02849,True,bs_3,0;1,16.0,8.0,8.0,861.02849,869.02849,3,2,5,
task_3,1,6,A,1636.938561,True,bs_9,1;2;3,39.0,19.5,19.5,1597.938561,1617.438561,5,3,5,
task_4,1,6,B,397.668492,True,bs_9,4,6.0,3.0,3.0,391.668492,394.668492,2,2,4,
task_5,1,6,B,734.913481,True,bs_9,5;6,14.0,7.0,7.0,720.913481,727.913481,3,1,4,
task_6,1,6,C,605.590879,True,bs_18,1,7.0,3.5,3.5,598.590879,602.090879,2,3,2,
task_7,2,7,C,1390.05021,True,bs_5,2;3,20.0,10.0,10.0,1370.05021,1380.05021,4,2,3,
task_8,2,7,C,709.112008,True,bs_8,2,6.0,3.0,3.0,703.112008,706.112008,2,2,9,
task_9,2,7,C,859.522948,True,bs_3,2;3,16.0,8.0,8.0,843.522948,851.522948,3,2,7,
task_10,3,8,C,1081.528267,True,bs_3,4;5,18.0,9.0,9.0,1063.528267,1072.528267,4,1,3,
task_11,3,8,C,514.236735,False,,,0.0,0.0,0.0,0.0,0.0,2,3,0,no_feasible_scheme
task_12,3,8,C,233.739356,True,bs_30,3,4.0,2.0,2.0,229.739356,231.739356,1,2,5,
task_13,3,8,C,1262.948795,True,bs_3,6;7;8,33.0,16.5,16.5,1229.948795,1246.448795,5,1,4,
task_14,4,9,C,643.212561,True,bs_20,4;5,16.0,8.0,8.0,627.212561,635.212561,3,2,1,
task_15,4,9,A,1222.373638,True,bs_6,4;5,20.0,10.0,10.0,1202.373638,1212.373638,4,2,4,
task_16,4,9,C,1059.217651,True,bs_19,4;5,20.0,10.0,10.0,1039.217651,1049.217651,4,2,1,
task_17,5,10,A,919.10835,True,bs_18,5;6,22.0,11.0,11.0,897.10835,908.10835,4,3,3,
task_18,5,10,C,921.942757,True,bs_19,6;7,18.0,9.0,9.0,903.942757,912.942757,3,3,1,
task_19,5,10,C,812.732546,True,bs_23,5;6,16.0,8.0,8.0,796.732546,804.732546,3,2,3,
task_20,5,10,B,494.674504,True,bs_29,5,6.0,3.0,3.0,488.674504,491.674504,2,2,2,
task_21,6,11,A,1129.951928,True,bs_3,9;10,22.0,11.0,11.0,1107.951928,1118.951928,4,3,3,
task_22,6,11,C,693.041604,True,bs_29,6;7,16.0,8.0,8.0,677.041604,685.041604,3,2,6,
task_23,6,11,A,1303.524806,True,bs_9,7;8;9,39.0,19.5,19.5,1264.524806,1284.024806,5,3,5,
task_24,7,12,C,1101.176725,True,bs_29,8;9,18.0,9.0,9.0,1083.176725,1092.176725,4,1,5,
task_25,7,12,C,803.022871,True,bs_9,10;11,16.0,8.0,8.0,787.022871,795.022871,3,2,6,
task_26,7,12,A,1625.53702,True,bs_4,7;8;9,39.0,19.5,19.5,1586.53702,1606.03702,5,3,4,
task_27,7,12,C,597.291261,True,bs_9,12,7.0,3.5,3.5,590.291261,593.791261,2,3,5,
