task_index,DIM,PRM,TRAIM,TOCA,PC-SPE
1,0.0,185.85416672533336,209.66784124287972,151.65766,119.2875448152062
2,389.0364775000479,88.11414821726896,300.0023995417571,302.486585,323.36720774862664
3,625.762801002348,274.57895081021525,,396.217533,506.30704003635424
4,11.214228199399258,0.0,,243.294291,204.30818413762898
5,219.0783240209845,0.0,212.62563388884365,,259.35346732280703
6,0.0,36.61429092181379,174.16767318848318,187.607182,138.6944749235539
7,50.28747814729013,0.0,,187.407113,166.6646497277541
8,616.7111025942329,315.78877331145395,,,506.23149055213213
9,1.1034415422242319,40.50462654415685,140.31079418245753,142.265616,117.58740065920131
10,450.18335413860257,86.42253951183943,305.79187939715996,,335.91778610750373
11,0.0,219.68761576385867,124.27364665534233,106.780104,53.20435885463944
12,0.0,,,111.655401,67.33622011905764
13,443.17466738391954,13.05342714646872,273.6920578676164,,336.82658053859745
14,403.72066067609035,46.5956778762303,321.7430125408267,298.672177,299.20718709228123
15,359.8815246186887,0.0,240.26504809776856,,283.8991982393104
16,478.5299818714683,24.6314897429678,262.1731990492988,,274.1503105353698
17,556.7298026262614,103.57116361469923,,,329.46695151840237
18,787.6552509712126,345.1537881896029,340.2495485956749,,585.6396363277872
19,854.9278871352592,393.3277574320234,323.400959495134,423.850237,535.8421206473306
20,642.1780195854301,146.21263086109366,278.05170202865406,,433.3146184013445
21,13.50628230692871,71.26952804046789,196.9386689688677,166.159823,88.27194861738259
22,921.4825875305335,461.50436183315924,390.5929755261228,,577.7184352234138
23,1111.197843193503,613.5164421127818,,464.995465,678.644029913484
24,0.0,172.63582595312778,226.1744435815726,186.10607,113.62242920969184
25,1118.417869151142,620.7364680704206,382.20113394879473,455.814648,642.5625963163857
26,426.0542490196425,0.0,256.26069485240856,301.421223,283.8568963012884
27,,268.4743706811096,321.0136649521083,,347.8411538748637
28,300.04917705060143,0.0,,,231.1843528921168
29,10.06277507445941,80.98214221116427,140.31079418245753,130.670498,85.84297455604222
30,170.09172824871223,0.0,212.62563388884365,173.456154,161.81386067495436
31,,25.702468910954593,117.16482400261782,,10.294451054182835
32,778.5309205899732,289.7812224640468,,,419.3327504882039
33,565.5624079271247,86.04802563865417,210.89668320471205,,291.5629330945933
34,618.9662618663383,95.07345078546064,,,386.988605335983
35,289.4667063047252,0.0,,265.7023,204.55889168042566
36,0.0,227.7501821525916,,122.923371,42.13730255342839
37,129.2496999106936,269.63451964858086,,169.158016,145.20005672843146
38,0.0,57.00127295896573,,130.415479,95.60528841166362
39,0.0,0.0,,122.067195,59.15355320377946
40,,422.9281720801116,,,446.28678711604084
41,181.59115375680227,0.0,224.74884837270957,186.663257,155.76767418915617
42,173.27119696061743,199.52743898289896,164.0307536036649,164.870276,104.02537461471255
43,473.3058344784922,0.0,290.7957131763077,,246.47758559454076
44,0.0,0.0,150.00119977087854,109.744609,47.2911135860418
45,0.0,262.6573604775723,126.47433514508438,112.043781,48.34124405348791
46,1198.974705141275,594.683739732907,365.03245810922607,,604.1174488005544
47,732.5458272368579,107.10849452411799,,393.366148,389.1638874566279
48,462.5004861748679,0.0,252.7147786910027,216.374984,193.2522782594237
49,137.46982258144538,49.802567716206454,,133.243172,105.61231915205164
50,,487.61032313161695,,,605.5021640732073
