task_index,DIM,PRM,TRAIM,TOCA,PC-SPE
1,0.0,190.0979028518002,209.66784124287972,151.65766,134.17366320507054
2,461.04152137053154,95.72993630129281,353.7608787745954,302.486585,363.7533502471006
3,655.3950555876113,275.41734958654797,,396.217533,569.5054960875267
4,78.72789235716755,0.0,,243.294291,229.82657220655142
5,225.63168463644467,0.0,259.8876909065348,,291.73549687265114
6,0.0,54.560185540110865,174.16767318848318,187.607182,156.03026296360906
7,114.44916102801892,0.0,,187.407113,187.47689824703627
8,728.8582006392568,325.2968648210476,,,569.4646122476312
9,2.227796193408608,58.56341475220506,140.31079418245753,142.265616,132.27459090580965
10,548.3139853461091,95.07572379083513,399.41466833721574,,377.87981262198286
11,0.0,220.8205241087931,124.27364665534233,106.780104,59.8495406233435
12,0.0,,,111.655401,75.74360709515568
13,451.64189823200786,13.717193779575382,273.6920578676164,,378.8761348094632
14,508.4871237105,54.87205786802224,321.7430125408267,298.672177,336.5726300490843
15,398.30534879635775,0.0,313.8258108363838,,319.3430585136869
16,515.2911673672112,45.41426452762414,262.1731990492988,,308.38792620612713
17,594.2308412389426,126.27765787391672,,,370.6157033682863
18,859.7341352021854,363.46630787932645,340.2495485956749,,658.7644459219069
19,962.9395160992791,465.25811501855765,323.400959495134,423.850237,602.7666138762979
20,686.5807940127611,161.77800188293963,346.99617465115523,,487.4185616913405
21,64.96841988129017,84.78089837272682,208.3221687372104,166.159823,99.29241689587668
22,1035.1307781072637,537.4493770265422,390.5929755261228,,649.8859683614525
23,1126.928560162844,638.1788620369175,,464.995465,763.424820470042
24,9.90313088990763,188.58215249214845,226.1744435815726,186.10607,127.80383597294977
25,1134.2720950080466,645.5223968821201,382.20113394879473,455.814648,722.8163894478843
26,471.33201081468485,0.0,256.26069485240856,301.421223,319.2825062448955
27,,279.6655479339122,321.0136649521083,,391.2765793547212
28,319.1291420242866,0.0,,,260.0513856900108
29,60.69072280217995,92.28861532831536,140.31079418245753,130.670498,96.56221155159963
30,208.4238621249914,0.0,259.8876909065348,173.456154,182.00982556907945
31,,36.90900058883929,117.16482400261782,,11.5898964818282
32,880.9312994431011,301.18983104397785,,,471.71818137954665
33,646.1701587187702,87.35413250824058,210.89668320471205,,327.9827156886837
34,635.6454139374924,176.49475370253253,,,435.30779851467423
35,351.3685493874908,0.0,,265.7023,230.08385902488405
36,41.61006770012057,252.16714422203694,,122.923371,47.39689022162601
37,273.12808113983965,284.6687906427576,,169.158016,163.32748876904603
38,0.0,61.230186546755476,,130.415479,107.56015584475341
39,0.0,0.0,,122.067195,66.54646587142524
40,,424.7155567165087,,,502.01922659609835
41,242.7144603556692,0.0,235.53213450086253,186.663257,175.2201264290655
42,228.65401469177107,208.33967595593697,164.0307536036649,164.870276,117.00581454152761
43,502.5588759619463,0.0,290.7957131763077,,277.24974199462673
44,9.176656102733148,0.0,176.8804393872977,109.744609,53.201945340931864
45,84.1538471131808,289.1377867465022,170.23029249531695,112.043781,54.37470313347557
46,1200.9018222221039,603.6021687605839,418.9329236027676,,679.5836945632445
47,763.4237611189033,189.4404398704262,,393.366148,437.7418504062734
48,589.6103019880643,0.0,290.0304855711468,216.374984,217.37850560615942
49,244.64220461840773,57.860513748706126,,133.243172,118.805346112271
50,,491.7185070061064,,,681.1124691533292
