round_index,task_id,arrival_time,deadline,candidate_count,decision,selected_bs,selected_time_slots,net_utility,rejection_reason
0,task_1,0,5,4,ACCEPTED,bs_5,0,31.733083,
1,task_2,0,5,3,ACCEPTED,bs_16,0;1,0.572354,
2,task_3,0,5,2,ACCEPTED,bs_29,0;1,15.165373,
3,task_4,1,6,6,ACCEPTED,bs_6,1,55.509915,
4,task_5,1,6,3,ACCEPTED,bs_19,1;2,48.486705,
5,task_6,1,6,10,ACCEPTED,bs_5,1,60.807091,
6,task_7,1,6,4,ACCEPTED,bs_26,1,44.40411,
7,task_8,2,7,4,REJECTED,,,0.0,non_positive_utility
8,task_9,2,7,2,ACCEPTED,bs_29,2,42.194785,
9,task_10,2,7,4,REJECTED,,,0.0,non_positive_utility
10,task_11,2,7,3,ACCEPTED,bs_19,3,34.866401,
11,task_12,3,8,2,ACCEPTED,bs_29,3,32.826657,
12,task_13,3,8,7,REJECTED,,,0.0,non_positive_utility
13,task_14,3,8,5,ACCEPTED,bs_19,4;5,38.134638,
14,task_15,3,8,6,REJECTED,,,0.0,non_positive_utility
15,task_16,4,9,2,REJECTED,,,0.0,non_positive_utility
16,task_17,4,9,6,REJECTED,,,0.0,non_positive_utility
17,task_18,4,9,3,REJECTED,,,0.0,non_positive_utility
18,task_19,4,9,7,ACCEPTED,bs_5,4;5,40.060112,
19,task_20,5,10,6,REJECTED,,,0.0,non_positive_utility
20,task_21,5,10,8,ACCEPTED,bs_8,5,42.452013,
21,task_22,5,10,8,REJECTED,,,0.0,non_positive_utility
22,task_23,5,10,3,ACCEPTED,bs_19,6;7,34.538915,
23,task_24,6,11,4,ACCEPTED,bs_9,6,40.507971,
24,task_25,6,11,8,ACCEPTED,bs_25,6;7,28.278891,
25,task_26,6,11,7,ACCEPTED,bs_5,6;7,36.779897,
26,task_27,6,11,7,REJECTED,,,0.0,non_positive_utility
27,task_28,7,12,7,REJECTED,,,0.0,non_positive_utility
28,task_29,7,12,2,ACCEPTED,bs_28,7,37.485842,
29,task_30,7,12,7,ACCEPTED,bs_5,8,34.003775,
30,task_31,7,12,6,ACCEPTED,bs_18,7,4.322689,
31,task_32,8,13,5,REJECTED,,,0.0,non_positive_utility
32,task_33,8,13,3,ACCEPTED,bs_23,8;9,5.062196,
33,task_34,8,13,7,REJECTED,,,0.0,non_positive_utility
34,task_35,8,13,10,ACCEPTED,bs_8,8;9,4.777063,
35,task_36,9,14,3,ACCEPTED,bs_26,9,31.781982,
36,task_37,9,14,8,ACCEPTED,bs_6,9,38.818022,
37,task_38,9,14,7,ACCEPTED,bs_5,9,54.044266,
38,task_39,9,14,5,ACCEPTED,bs_29,9,44.667803,
39,task_40,10,15,3,REJECTED,,,0.0,non_positive_utility
40,task_41,10,15,3,ACCEPTED,bs_26,10,45.871803,
41,task_42,10,15,8,ACCEPTED,bs_30,10,33.706998,
42,task_43,10,15,3,REJECTED,,,0.0,non_positive_utility
43,task_44,11,16,3,ACCEPTED,bs_19,11,40.65966,
44,task_45,11,16,3,ACCEPTED,bs_26,11,27.543948,
45,task_46,11,16,8,REJECTED,,,0.0,non_positive_utility
46,task_47,11,16,3,ACCEPTED,bs_12,11;12,13.693699,
47,task_48,12,17,8,ACCEPTED,bs_9,12,42.523612,
48,task_49,12,17,7,ACCEPTED,bs_8,12,42.279853,
49,task_50,12,17,7,REJECTED,,,0.0,non_positive_utility
