mechanism,target_id,bid_multiplier,won,won_task_count,payment,utility,truthful_bid_reference,task_id,true_bid,reported_bid,accepted,truthfulness_status
DIM,node_2,0.5,False,0,,0.0,1.0c,node_2,,,False,passed
DIM,node_2,0.7,False,0,,0.0,1.0c,node_2,,,False,passed
DIM,node_2,0.9,False,0,,0.0,1.0c,node_2,,,False,passed
DIM,node_2,1.0,False,0,,0.0,1.0c,node_2,,,False,passed
DIM,node_2,1.1,False,0,,0.0,1.0c,node_2,,,False,passed
DIM,node_2,1.3,False,0,,0.0,1.0c,node_2,,,False,passed
DIM,node_2,1.5,False,0,,0.0,1.0c,node_2,,,False,passed
PRM,node_1,0.5,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,0.7,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,0.9,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,1.0,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,1.1,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,1.3,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,1.5,False,0,,0.0,1.0c,node_1,,,False,passed
TRAIM,bs_1,0.5,False,0,,0.0,1.0c,bs_1,,,False,passed
TRAIM,bs_1,0.7,False,0,,0.0,1.0c,bs_1,,,False,passed
TRAIM,bs_1,0.9,False,0,,0.0,1.0c,bs_1,,,False,passed
TRAIM,bs_1,1.0,False,0,,0.0,1.0c,bs_1,,,False,passed
TRAIM,bs_1,1.1,False,0,,0.0,1.0c,bs_1,,,False,passed
TRAIM,bs_1,1.3,False,0,,0.0,1.0c,bs_1,,,False,passed
TRAIM,bs_1,1.5,False,0,,0.0,1.0c,bs_1,,,False,passed
TOCA,task_3,0.5,True,1,36.0,1540.738813448024,1.0v,task_3,1576.738813448024,788.369406724012,True,passed
TOCA,task_3,0.7,True,1,36.0,1540.738813448024,1.0v,task_3,1576.738813448024,1103.7171694136168,True,passed
TOCA,task_3,0.9,True,1,36.0,1540.738813448024,1.0v,task_3,1576.738813448024,1419.0649321032217,True,passed
TOCA,task_3,1.0,True,1,36.0,1540.738813448024,1.0v,task_3,1576.738813448024,1576.738813448024,True,passed
TOCA,task_3,1.1,True,1,36.0,1540.738813448024,1.0v,task_3,1576.738813448024,1734.4126947928266,True,passed
TOCA,task_3,1.3,True,1,36.0,1540.738813448024,1.0v,task_3,1576.738813448024,2049.7604574824313,True,passed
TOCA,task_3,1.5,True,1,36.0,1540.738813448024,1.0v,task_3,1576.738813448024,2365.108220172036,True,passed
